geometry,polylines,id,city,object,type,lat,lon
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.182197199339136,37.63976325049131
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.18289044188819,37.63352785400692
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.183659899999995,37.6306486
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.18443328377827,37.63324952527698
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.188721243775646,37.634160319324984
"POLYGON ((37.61543698307417 54.21290706061393, 37.619689400835824 54.20893892383865, 37.62731217589625 54.20935523709693, 37.630683952595824 54.21374000831654, 37.62643167517567 54.21770859828581, 37.61880748053637 54.217291963812826, 37.61543698307417 54.21290706061393))","[(54.21290706061393, 37.61543698307417), (54.20893892383865, 37.619689400835824), (54.20935523709693, 37.62731217589625), (54.21374000831654, 37.630683952595824), (54.21770859828581, 37.62643167517567), (54.217291963812826, 37.61880748053637), (54.21290706061393, 37.61543698307417)]",19,Тула,highway,footway,54.21078931215149,37.62771761284451
"POLYGON ((37.61543698307417 54.21290706061393, 37.619689400835824 54.20893892383865, 37.62731217589625 54.20935523709693, 37.630683952595824 54.21374000831654, 37.62643167517567 54.21770859828581, 37.61880748053637 54.217291963812826, 37.61543698307417 54.21290706061393))","[(54.21290706061393, 37.61543698307417), (54.20893892383865, 37.619689400835824), (54.20935523709693, 37.62731217589625), (54.21374000831654, 37.630683952595824), (54.21770859828581, 37.62643167517567), (54.217291963812826, 37.61880748053637), (54.21290706061393, 37.61543698307417)]",19,Тула,highway,footway,54.2121985,37.6277556
"POLYGON ((37.61543698307417 54.21290706061393, 37.619689400835824 54.20893892383865, 37.62731217589625 54.20935523709693, 37.630683952595824 54.21374000831654, 37.62643167517567 54.21770859828581, 37.61880748053637 54.217291963812826, 37.61543698307417 54.21290706061393))","[(54.21290706061393, 37.61543698307417), (54.20893892383865, 37.619689400835824), (54.20935523709693, 37.62731217589625), (54.21374000831654, 37.630683952595824), (54.21770859828581, 37.62643167517567), (54.217291963812826, 37.61880748053637), (54.21290706061393, 37.61543698307417)]",19,Тула,highway,footway,54.212499215660074,37.62699070412163
"POLYGON ((37.61543698307417 54.21290706061393, 37.619689400835824 54.20893892383865, 37.62731217589625 54.20935523709693, 37.630683952595824 54.21374000831654, 37.62643167517567 54.21770859828581, 37.61880748053637 54.217291963812826, 37.61543698307417 54.21290706061393))","[(54.21290706061393, 37.61543698307417), (54.20893892383865, 37.619689400835824), (54.20935523709693, 37.62731217589625), (54.21374000831654, 37.630683952595824), (54.21770859828581, 37.62643167517567), (54.217291963812826, 37.61880748053637), (54.21290706061393, 37.61543698307417)]",19,Тула,highway,footway,54.21334448575326,37.627001786611046
"POLYGON ((37.61543698307417 54.21290706061393, 37.619689400835824 54.20893892383865, 37.62731217589625 54.20935523709693, 37.630683952595824 54.21374000831654, 37.62643167517567 54.21770859828581, 37.61880748053637 54.217291963812826, 37.61543698307417 54.21290706061393))","[(54.21290706061393, 37.61543698307417), (54.20893892383865, 37.619689400835824), (54.20935523709693, 37.62731217589625), (54.21374000831654, 37.630683952595824), (54.21770859828581, 37.62643167517567), (54.217291963812826, 37.61880748053637), (54.21290706061393, 37.61543698307417)]",19,Тула,highway,footway,54.21358995243433,37.62799854843413
