geometry,polylines,id,city,object,type,lat,lon,count_people
"POLYGON ((37.625125545755225 54.12101383115204, 37.62936832489378 54.117042880739824, 37.636975519144706 54.117455660745655, 37.640341347904545 54.12183971233122, 37.636098709021624 54.12581111597835, 37.62849010094623 54.12539801477643, 37.625125545755225 54.12101383115204))","[(54.12101383115204, 37.625125545755225), (54.117042880739824, 37.62936832489378), (54.117455660745655, 37.636975519144706), (54.12183971233122, 37.640341347904545), (54.12581111597835, 37.636098709021624), (54.12539801477643, 37.62849010094623), (54.12101383115204, 37.625125545755225)]",6,Тула,building,house,54.12084721927921,37.62854463872142,3
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,apartments,54.18078759422045,37.63893146663334,150
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,apartments,54.180788574266884,37.636603880198905,150
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,apartments,54.18243931892656,37.642395229896195,30
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,apartments,54.183526873152836,37.64240368470231,480
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,apartments,54.18208195,37.64035135000001,660
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,apartments,54.180893743041764,37.63560401707474,150
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,apartments,54.180895710892756,37.6345489883279,150
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,apartments,54.18136585,37.637519399999995,360
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,apartments,54.181822466548105,37.636293237843184,270
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,apartments,54.18223193388839,37.63376262641284,270
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,apartments,54.18226260878603,37.633069272382585,270
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,apartments,54.18259322837147,37.634568630591765,270
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,apartments,54.1833438290202,37.632835579875795,270
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,house,54.1851646453448,37.63513351622678,3
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,building,house,54.185554450000005,37.63490775000001,3
